Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S00001,Donna Williams,2007-02-10,Grade 3,344-258-9046
S00002,John Stafford,2014-11-26,Grade 5,162-919-9704
S00003,Chad Harper,2017-02-07,Grade 3,308-517-3750
S00004,Anthony Martin,2014-11-10,Grade 5,771-152-4116
S00005,Mary Stone,2016-04-01,Grade 3,848-495-7772
S00006,Joe Wells,2017-06-29,Grade 2,864-564-4501
S00007,Margaret Nixon,2009-12-04,Grade 4,708-042-1412
S00008,James Wheeler,2011-01-25,Grade 1,818-005-7877
S00009,Benjamin Cook,2007-10-04,Grade 4,503-751-1611
S00010,Aaron Callahan,2012-02-18,Grade 4,unknown
S00011,christopher church,2008-02-23,Grade 1,unknown
S00012,Jonathan Solis,2016-07-07,Grade 1,534-789-8656
S00013,Robert Sanders,2008-04-30,Grade 2,421-016-7779
S00014,Melanie Gilmore,2006-08-19,Grade 4,428-327-8506
S00015,Alexandria Wallace,2006-06-21,Grade 2,596-520-7061
S00016,Ann Wilkerson,2007-09-02,Grade 3,000-469-0671
S00017,Kelly Delgado,2015-06-28,Grade 2,121-544-5650
S00018,Michael Baker,2008-07-21,Grade 1,459-045-4580
S00019,Jennifer Adams,2015-01-03,Grade 4,209-613-8159
S00020,Elizabeth Lopez,2016-04-21,Grade 3,819-737-4414
S00021,Patricia Atkins,2019-01-07,Grade 5,400-642-9947
S00022,Justin Wright,2010-06-25,Grade 2,149-462-2990
S00023,Justin Sandoval,2016-05-22,Grade 1,898-679-5228
S00024,Kimberly Massey,2008-05-05,Grade 3,888-444-9025
S00025,Theresa Marsh,2009-04-18,Grade 2,676-696-6482
S00026,Todd Noble,2006-05-03,Grade 3,730-399-1378
S00027,Jonathan Cline,2009-03-13,Grade 3,903-336-7816
S00028,Diana Fitzpatrick,2008-09-12,Grade 5,468-329-0737
S00029,brandi winters,2007-01-14,Grade 3,223-628-6249
S00030,Vincent Harrison,2013-01-26,Grade 3,795-919-8159
S00031,Michael May,2009-01-13,Grade 4,420-607-9672
S00032,Katherine Chang,2010-09-03,Grade 4,716-890-0179
S00033,Kenneth Levine,2019-01-15,Grade 1,529-506-0532
S00034,Melissa Cohen,2016-08-20,Grade 1,955-737-4295
S00035,Pamela Lambert,2010-11-06,Grade 2,591-360-9003
S00036,James Stewart,2010-10-03,Grade 3,952-124-7777
S00037,Rebecca Barr,2007-04-24,Grade 1,332-663-6418
S00038,Brandi Carroll,2018-04-09,Grade 1,450-396-7848
S00039,Jordan Jenkins,2018-12-16,Grade 1,393-709-1081
S00040,Frank Douglas,2017-08-22,Grade 5,561-402-3053
S00041,Robert Walters,2017-03-28,Grade 1,742-167-1902
S00042,Timothy Russell,2010-02-03,Grade 3,710-022-0344
S00043,Amanda Davis,2008-01-17,Grade 2,unknown
